Card Name,Mana Cost,CMC,Type,Oracle Text,Power,Toughness,Rarity,Price (USD),Role,Quantity,Category
Oswald Fiddlebender,{1}{W},2.0,Legendary Creature — Gnome Artificer,"Magical Tinkering — {W}, {T}, Sacrifice an artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put it onto the battlefield, then shuffle. Activate only as a sorcery.",2,2,Rare,2.02,Tutor,1,Commander
Market Gnome,{W},1.0,Artifact Creature — Gnome,"When this creature dies, you gain 1 life and draw a card.
When this creature is exiled from the battlefield while you're activating a craft ability, you gain 1 life and draw a card.",0,3,Uncommon,0.09,Card Draw,1,Deck
"Skrelv, Defector Mite",{W},1.0,Legendary Artifact Creature — Phyrexian Mite,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Skrelv can't block.
{W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)",1,1,Rare,2.34,Direct Damage,1,Deck
Compass Gnome,{2},2.0,Artifact Creature — Gnome,"When this creature enters, you may search your library for a basic land card or Cave card, reveal it, then shuffle and put that card on top.",2,1,Common,0.04,Tutor,1,Deck
Deep Gnome Terramancer,{1}{W},2.0,Creature — Gnome Wizard,"Flash
Mold Earth — Whenever one or more lands enter under an opponent's control without being played, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle. Do this only once each turn.",2,2,Rare,5.70,Tutor,1,Deck
Myr Retriever,{2},2.0,Artifact Creature — Myr,"When this creature dies, return another target artifact card from your graveyard to your hand.",1,1,Common,2.30,Other,1,Deck
Ornithopter of Paradise,{2},2.0,Artifact Creature — Thopter,"Flying
{T}: Add one mana of any color.",0,2,Common,2.78,Other,1,Deck
Cathodion,{3},3.0,Artifact Creature — Construct,"When this creature dies, add {C}{C}{C}.",3,3,Common,0.07,Ramp,1,Deck
"Losheel, Clockwork Scholar",{2}{W},3.0,Legendary Creature — Elephant Artificer,"Prevent all combat damage that would be dealt to attacking artifact creatures you control.
Whenever one or more artifact creatures you control enter, draw a card. This ability triggers only once each turn.",2,4,Uncommon,2.53,Card Draw,1,Deck
Myr Welder,{3},3.0,Artifact Creature — Myr,"Imprint — {T}: Exile target artifact card from a graveyard.
This creature has all activated abilities of all cards exiled with it.",1,4,Rare,2.29,Removal,1,Deck
Scrap Trawler,{3},3.0,Artifact Creature — Construct,"Whenever this creature dies or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value.",3,2,Rare,0.74,Other,1,Deck
Junk Diver,{3},3.0,Artifact Creature — Bird,"Flying
When this creature dies, return another target artifact card from your graveyard to your hand.",1,1,Uncommon,0.13,Other,1,Deck
Crackdown Construct,{4},4.0,Artifact Creature — Construct,"Whenever you activate an ability of an artifact or creature that isn't a mana ability, this creature gets +1/+1 until end of turn.",2,2,Uncommon,0.10,Other,1,Deck
Dross Scorpion,{4},4.0,Artifact Creature — Scorpion,"Whenever this creature or another artifact creature dies, you may untap target artifact.",3,1,Common,0.29,Other,1,Deck
"Teshar, Ancestor's Apostle",{3}{W},4.0,Legendary Creature — Bird Cleric,"Flying
Whenever you cast a historic spell, return target creature card with mana value 3 or less from your graveyard to the battlefield. (Artifacts, legendaries, and Sagas are historic.)",2,2,Uncommon,0.16,Other,1,Deck
Cataclysmic Gearhulk,{3}{W}{W},5.0,Artifact Creature — Construct,"Vigilance
When this creature enters, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest.",4,5,Mythic,0.23,Sacrifice Synergy,1,Deck
Meteor Golem,{7},7.0,Artifact Creature — Golem,"When this creature enters, destroy target nonland permanent an opponent controls.",3,3,Uncommon,0.06,Other,1,Deck
Combat Thresher,{7},7.0,Artifact Creature — Construct,"Prototype {2}{W} — 1/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Double strike
When this creature enters, draw a card.",3,3,Uncommon,0.10,Card Draw,1,Deck
Threefold Thunderhulk,{7},7.0,Artifact Creature — Gnome,"This creature enters with three +1/+1 counters on it.
Whenever this creature enters or attacks, create a number of 1/1 colorless Gnome artifact creature tokens equal to its power.
{2}, Sacrifice another artifact: Put a +1/+1 counter on this creature.",0,0,Rare,0.65,Sacrifice Synergy,1,Deck
